First,Last,Party,State,Ideology Score,Year,Content,Unnamed: 7,Source,Likes,Shares,Views,Sentiment,Score
Donald,Trump,R,President,,2024.0,"Margaret Brennan just “fact checked” JD, incorrectly, on “Climate Change.” When is she going to fact check Tampon Tim on all of his false statements? Another repeat with the Fake News being unfair to the Republican Candidate, and trying to get the pathetic Democrat across the finish line. But it doesn’t matter, the Public sees it for what it is - FAKE NEWS!",,X,5k,28k,,neutral,0.5172966718673706
Donald,Trump,R,President,,2024.0,"So bad that FoxNews puts RFK Jr., considered the dumbest member of the Kennedy Clan, on their fairly conservative platform so much. Competitive networks don’t want anything to do with him. He’s a Radical Left Lunatic whose crazy Climate Change views make the Democrat’s Green New Scam look Conservative. He’s polling badly, 8% at best, but says he does well against Crooked Joe and me, one on one. WRONG, he gets trounced! Junior said I’m the “best debater” in generations, and I want to debate him, and Crooked, but first he’s got to get his bad poll numbers up - a lot! He would be “easy pickins.” Republicans, don’t waste your precious vote on this phony Liberal Activist. With all of that said, he probably hurts Sleepy Crooked Joe more than “US!”",,X,4k,14k,,neutral,0.47748151421546936
Donald,Trump,R,President,,2023.0,"RT @marklevinshow (https://truthsocial.com/@marklevinshow) Good to know that Biden and Blinken can ensure that every penny of the $6 billion to Iran, like all the money they're giving to the Palestinians, will be carefully tracked. No way will any of it be used to fund terrorism or weapons of mass destruction. Why would anyone question that? Are these liars serious? They can't even account for hundreds of billions of COVID, climate change funds, and the rest of federal spending -- without having to trace how our enemies are accounting for it all.",,X,0,0,,opportunity,0.5572575330734253
Donald,Trump,R,President,,2023.0,RT @marklevinshow (https://truthsocial.com/@marklevinshow) Climate change Marxists exploit all human tragedies https://www.newsbusters.org/blogs/business/tom-olohan/2023/08/22/mark-levin-goes-after-sickening-exploitation-maui-climate,,X,0,0,,risk,0.5788065195083618
Donald,Trump,R,President,,2023.0,"His Climate Change statements, they can no longer use Global Warming because that doesn't work anymore, will bankrupt our Country, and bring us into the Third World status, which we’re getting closer and closer to anyway.",,X,6k,32k,,risk,0.7684107422828674
Donald,Trump,R,President,,2022.0,"Heading to Wisconsin, big crowd. Will be a slight delay due to weather, but we will never let bad weather or climate change stop us!",,X,4k,23k,,risk,0.8701286315917969
Donald,Trump,R,President,,2022.0,RT @catturd2 (https://truthsocial.com/@catturd2) Joe Biden is going to fly gas guzzling Air Force One almost 3000 miles to Seattle today to sign an executive order about climate change. 😂😂😂 You can't make this shit up.,,X,0,0,,neutral,0.7624003291130066
Donald,Trump,R,President,,2020.0,"RT @JudiciaryGOP: A climate change study on aviation to combat #COVIDー19? Is this a joke, @SpeakerPelosi? How does that help average Ame…",,X,14k,0,,neutral,0.5743977427482605
Donald,Trump,R,President,,2020.0,RT @kayleighmcenany: Make no mistake: the #DemDebate plan for climate change is to eliminate more than 1 million jobs in America by elimina…,,X,5k,0,,neutral,0.8027685880661011
Donald,Trump,R,President,,2019.0,RT @PrisonPlanet: A ship carrying passengers who included a group of ‘Climate Change Warriors’ who are concerned about melting Arctic ice g…,,X,12k,0,,neutral,0.5015470385551453
Donald,Trump,R,President,,2019.0,"Plagiarism charge against Sleepy Joe Biden on his ridiculous Climate Change Plan is a big problem, but the Corrupt Media will save him. His other problem is that he is drawing flies, not people, to his Rallies. Nobody is showing up, I mean nobody. You can’t win without people!",,X,19k,92k,,risk,0.7672376036643982
Donald,Trump,R,President,,2015.0,"President Obama was terrible on @60Minutes tonight. He said CLIMATE CHANGE is the most important thing, not all of the current disasters!",,X,3k,6k,,risk,0.6383211016654968
Donald,Trump,R,President,,2015.0,Among the lowest temperatures EVER in much of the United States. Ice caps at record size. Changed name from GLOBAL WARMING to CLIMATE CHANGE,,X,280,366,,neutral,0.7228082418441772
Donald,Trump,R,President,,2014.0,For those that constantly say that “global warming” is now “climate change”—they changed the name. The name global warming wasn’t working,,X,337,391,,neutral,0.7032245397567749
Donald,Trump,R,President,,2014.0,"As ISIS and Ebola spread like wildfire, the Obama administration just submitted a paper on how to stop climate change (aka global warming).",,X,1k,1k,,risk,0.4948536157608032
Donald,Trump,R,President,,2014.0,"Great article on so-called climate change, formerly known as global warming. http://t.co/fEYAhQ7lGB",,X,184,182,,neutral,0.5510963797569275
Donald,Trump,R,President,,2014.0,It's late in July and it is really cold outside in New York. Where the hell is GLOBAL WARMING??? We need some fast! It's now CLIMATE CHANGE,,X,445,470,,neutral,0.5393548607826233
Donald,Trump,R,President,,2014.0,Tremendous cold wave hits large part of U.S. Lucky they changed the name from global warming to climate change - G.W. just doesn't work!,,X,139,155,,risk,0.8252889513969421
Donald,Trump,R,President,,2014.0,"""@devhop: @realDonaldTrump they renamed it Climate Change so it could be devastating either way the temperature goes.""",,X,62,55,,risk,0.9149994850158691
Donald,Trump,R,President,,2014.0,"They only changed the term to CLIMATE CHANGE when the words GLOBAL WARMING didn't work anymore. Come on people, get smart!",,X,480,419,,neutral,0.8823575973510742
Donald,Trump,R,President,,2014.0,"The man made ""climate change"" that our ""great"" president should be focused on is of the NUCLEAR variety brought upon us because of weakness!",,X,211,240,,risk,0.665800929069519
Donald,Trump,R,President,,2014.0,"Russia is on the move in the Ukraine, Iran is nuking up & Libya is run by Al Qaeda, yet Obama is busy issuing ‘climate change” warnings.",,X,858,938,,risk,0.7622610330581665
