first,last,party,state,ideology_score,region,year,source,likes,shares,views,message,independent_label,sentiment,model_label,emotion,confidence,dominant_topic,topic_probability
Donald,Trump,R,US,0.403,US,2024.0,X,5k,28k,,margaret brennan fact checked jd incorrectly climate change going fact check tampon tim false statement another repeat fake news unfair republican candidate trying get pathetic democrat across finish line doesnt matter public see fake news,risk,-1,1,neutral,0.585997462272644,"warming, global, cold, change, climate, hell, need, new, freezing, country",0.9489158737231383
Donald,Trump,R,US,0.403,US,2024.0,X,4k,14k,,bad foxnews put rfk jr considered dumbest member kennedy clan fairly conservative platform much competitive network dont want anything he radical left lunatic whose crazy climate change view make democrat green new scam look conservative he polling badly best say well crooked joe one one wrong get trounced junior said im best debater generation want debate crooked first he got get bad poll number lot would easy pickins republican dont waste precious vote phony liberal activist said probably hurt sleepy crooked joe,risk,-1,1,neutral,0.7091649174690247,"climate, change, warming, global, work, anymore, changed, world, freezing, let",0.9768415578567599
Donald,Trump,R,US,0.403,US,2023.0,X,0,0,,climate change marxist exploit human tragedy,risk,-1,1,neutral,0.9596152305603027,"climate, change, warming, global, working, changed, cold, called, state, weather",0.7305463968823452
Donald,Trump,R,US,0.403,US,2023.0,X,6k,32k,,climate change statement longer use global warming work anymore bankrupt country bring third world status getting closer closer anyway,risk,-1,-1,neutral,0.8616841435432434,"climate, change, warming, global, work, anymore, changed, world, freezing, let",0.9549614982821949
Donald,Trump,R,US,0.403,US,2022.0,X,4k,23k,,heading wisconsin big crowd slight delay due weather never let bad weather climate change stop,risk,-1,1,neutral,0.7871129512786865,"climate, change, warming, global, working, changed, cold, called, state, weather",0.909439145709658
Donald,Trump,R,US,0.403,US,2022.0,X,0,0,,joe biden going fly gas guzzling air force one almost mile seattle today sign executive order climate change ca make shit,risk,-1,-1,neutral,0.730328381061554,"global, warming, ice, record, people, freezing, cold, snow, coldest, country",0.5471850659175036
Donald,Trump,R,US,0.403,US,2020.0,X,14k,0,,climate change study aviation combat joke elosi help average american,risk,-1,1,neutral,0.9329856038093567,"climate, change, warming, global, working, changed, cold, called, state, weather",0.8388353746627089
Donald,Trump,R,US,0.403,US,2019.0,X,19k,92k,,plagiarism charge sleepy joe biden ridiculous climate change plan big problem corrupt medium save problem drawing fly people rally nobody showing mean nobody cant win without people,risk,-1,-1,neutral,0.6182209253311157,"global, warming, ice, record, people, freezing, cold, snow, coldest, country",0.7902781878426086
Donald,Trump,R,US,0.403,US,2015.0,X,3k,6k,,president obama terrible tonight said climate change important thing current disaster,risk,-1,1,fear,0.5336642265319824,"climate, warming, global, change, air, going, clean, nuclear, country, obama",0.8838288621174724
Donald,Trump,R,US,0.403,US,2015.0,X,280,366,,among lowest temperature ever much united state ice cap record size changed name global warming climate change,risk,-1,1,neutral,0.7902158498764038,"climate, change, warming, global, working, changed, cold, called, state, weather",0.9421454039969867
Donald,Trump,R,US,0.403,US,2014.0,X,337,391,,constantly say global warming climate changethey changed name name global warming wasnt working,risk,-1,-1,disapproval,0.6821375489234924,"global, warming, ice, record, people, freezing, cold, snow, coldest, country",0.5783506136589875
Donald,Trump,R,US,0.403,US,2014.0,X,1k,1k,,isi ebola spread like wildfire obama administration submitted paper stop climate change aka global warming,risk,-1,-1,neutral,0.9496964812278748,"warming, global, cold, change, climate, hell, need, new, freezing, country",0.9492621375943767
Donald,Trump,R,US,0.403,US,2014.0,X,184,182,,great article socalled climate change formerly known global warming,risk,-1,-1,admiration,0.921981692314148,"climate, warming, global, change, air, going, clean, nuclear, country, obama",0.9090554867361248
Donald,Trump,R,US,0.403,US,2014.0,X,445,470,,late july really cold outside new york hell global warming need fast climate change,risk,-1,-1,neutral,0.8787133693695068,"warming, global, cold, change, climate, hell, need, new, freezing, country",0.9458629389284362
Donald,Trump,R,US,0.403,US,2014.0,X,139,155,,tremendous cold wave hit large part lucky changed name global warming climate change gw work,risk,-1,-1,neutral,0.8524998426437378,"warming, global, cold, change, climate, hell, need, new, freezing, country",0.7640252073848092
Donald,Trump,R,US,0.403,US,2014.0,X,62,55,,renamed climate change could devastating either way temperature go,risk,-1,1,neutral,0.4878646433353424,"climate, change, warming, global, working, changed, cold, called, state, weather",0.8384820504958855
Donald,Trump,R,US,0.403,US,2014.0,X,480,419,,changed term climate change word global warming work anymore come people get smart,risk,-1,-1,neutral,0.855873167514801,"climate, change, warming, global, work, anymore, changed, world, freezing, let",0.5329165654457362
Donald,Trump,R,US,0.403,US,2014.0,X,211,240,,man made climate change great president focused nuclear variety brought upon weakness,risk,-1,-1,admiration,0.8574686646461487,"climate, warming, global, change, air, going, clean, nuclear, country, obama",0.8990316119757472
Donald,Trump,R,US,0.403,US,2014.0,X,858,938,,russia move ukraine iran nuking libya run al qaeda yet obama busy issuing climate change warning,risk,-1,1,neutral,0.9319098591804504,"climate, warming, global, change, air, going, clean, nuclear, country, obama",0.8372634753187433
Donald,Trump,R,US,0.403,US,2014.0,X,30,30,,respected businessman deny people knowledge climate change mean global,risk,-1,1,neutral,0.8574540019035339,"global, warming, ice, record, people, freezing, cold, snow, coldest, country",0.46730671352652237
Donald,Trump,R,US,0.403,US,2014.0,X,71,85,,congrats charles statement climate change formerly known global warming,risk,-1,-1,gratitude,0.76032954454422,"climate, warming, global, change, air, going, clean, nuclear, country, obama",0.6653468955077795
Donald,Trump,R,US,0.403,US,2014.0,X,20,47,,climate change allows stay gravy train whatever happens,risk,-1,1,neutral,0.8285635709762573,"climate, change, warming, global, working, changed, cold, called, state, weather",0.7305463968823452
Donald,Trump,R,US,0.403,US,2014.0,X,69,79,,whether global warming climate change fact cause change,risk,-1,-1,neutral,0.6723767518997192,"climate, change, warming, global, work, anymore, changed, world, freezing, let",0.8976608140468131
Donald,Trump,R,US,0.403,US,2014.0,X,1k,1k,,climate change global warming let dollar sucking wiseguys change name midstream first name work,risk,-1,1,neutral,0.9519901871681213,"climate, change, warming, global, work, anymore, changed, world, freezing, let",0.9184394618805634
Donald,Trump,R,US,0.403,US,2014.0,X,546,584,,believe one secretary state john kerry stated dangerous weapon today climate change laughable,risk,-1,1,amusement,0.7626194357872009,"climate, change, warming, global, work, anymore, changed, world, freezing, let",0.9091356559578319
Donald,Trump,R,US,0.403,US,2014.0,X,417,490,,let global warming wiseguys get away changing name climate change fact let gw tag work anymore,risk,-1,-1,neutral,0.9393069744110107,"climate, change, warming, global, work, anymore, changed, world, freezing, let",0.9460426482713061
Donald,Trump,R,US,0.403,US,2014.0,X,621,415,,massive record setting snowstorm freezing temperature smart global warming hoaxsters changed name climate change,risk,-1,-1,neutral,0.9276525378227234,"climate, change, warming, global, work, anymore, changed, world, freezing, let",0.9412873207413505
Donald,Trump,R,US,0.403,US,2014.0,X,2k,3k,,give clean beautiful healthy air old climate change global warming bullshit tired hearing nonsense,risk,-1,-1,annoyance,0.5832662582397461,"climate, warming, global, change, air, going, clean, nuclear, country, obama",0.9421245245425327
Donald,Trump,R,US,0.403,US,2014.0,X,648,508,,weather cold long global warming hoaxsters forced change name climate change keep flow,risk,-1,-1,neutral,0.9535723328590393,"global, warming, ice, record, people, freezing, cold, snow, coldest, country",0.5289533674220838
Donald,Trump,R,US,0.403,US,2014.0,X,61,76,,know actually called climate change right global warming working,risk,-1,-1,neutral,0.878161609172821,"climate, change, warming, global, working, changed, cold, called, state, weather",0.9193270730532842
Donald,Trump,R,US,0.403,US,2013.0,X,614,621,,con artist changed name global warming climate change global warming longer working credibility lost,risk,-1,-1,neutral,0.7915554642677307,"climate, change, warming, global, work, anymore, changed, world, freezing, let",0.5736843031666136
Donald,Trump,R,US,0.403,US,2013.0,X,226,205,,coolest story john beale man headed climate change government proven con man total phoney arrested,risk,-1,1,admiration,0.21616119146347046,"climate, warming, global, change, air, going, clean, nuclear, country, obama",0.9190149190117199
