first,last,party,state,ideology_score,region,year,source,likes,shares,views,message,independent_label,sentiment,model_label
Donald,Trump,R,US,0.403,US,2024.0,X,5k,28k,,margaret brennan fact checked jd incorrectly climate change going fact check tampon tim false statement another repeat fake news unfair republican candidate trying get pathetic democrat across finish line doesnt matter public see fake news,risk,-1,1
Donald,Trump,R,US,0.403,US,2024.0,X,4k,14k,,bad foxnews put rfk jr considered dumbest member kennedy clan fairly conservative platform much competitive network dont want anything he radical left lunatic whose crazy climate change view make democrat green new scam look conservative he polling badly best say well crooked joe one one wrong get trounced junior said im best debater generation want debate crooked first he got get bad poll number lot would easy pickins republican dont waste precious vote phony liberal activist said probably hurt sleepy crooked joe,risk,-1,1
Donald,Trump,R,US,0.403,US,2023.0,X,0,0,,climate change marxist exploit human tragedy,risk,-1,1
Donald,Trump,R,US,0.403,US,2023.0,X,6k,32k,,climate change statement longer use global warming work anymore bankrupt country bring third world status getting closer closer anyway,risk,-1,-1
Donald,Trump,R,US,0.403,US,2022.0,X,4k,23k,,heading wisconsin big crowd slight delay due weather never let bad weather climate change stop,risk,-1,1
Donald,Trump,R,US,0.403,US,2022.0,X,0,0,,joe biden going fly gas guzzling air force one almost mile seattle today sign executive order climate change ca make shit,risk,-1,-1
Donald,Trump,R,US,0.403,US,2020.0,X,14k,0,,climate change study aviation combat joke elosi help average american,risk,-1,1
Donald,Trump,R,US,0.403,US,2019.0,X,19k,92k,,plagiarism charge sleepy joe biden ridiculous climate change plan big problem corrupt medium save problem drawing fly people rally nobody showing mean nobody cant win without people,risk,-1,-1
Donald,Trump,R,US,0.403,US,2015.0,X,3k,6k,,president obama terrible tonight said climate change important thing current disaster,risk,-1,1
Donald,Trump,R,US,0.403,US,2015.0,X,280,366,,among lowest temperature ever much united state ice cap record size changed name global warming climate change,risk,-1,1
Donald,Trump,R,US,0.403,US,2014.0,X,337,391,,constantly say global warming climate changethey changed name name global warming wasnt working,risk,-1,-1
