first,last,party,state,ideology_score,year,source,likes,shares,views,message,independent_label,sentiment,model_label,emotion,confidence,dominant_topic,topic_probability
Donald,Trump,R,US,0.403,2024,X,5k,28k,,margaret brennan fact checked jd incorrectly climate change going fact check tampon tim false statement another repeat fake news unfair republican candidate trying get pathetic democrat across finish line doesnt matter public see fake news,risk,-1,-1,neutral,0.585997462272644,"global, warming, climate, change, obama, let, changing, freezing, weather, fact",0.5670446919987705
Donald,Trump,R,US,0.403,2024,X,4k,14k,,bad foxnews put rfk jr considered dumbest member kennedy clan fairly conservative platform much competitive network dont want anything he radical left lunatic whose crazy climate change view make democrat green new scam look conservative he polling badly best say well crooked joe one one wrong get trounced junior said im best debater generation want debate crooked first he got get bad poll number lot would easy pickins republican dont waste precious vote phony liberal activist said probably hurt sleepy crooked joe,risk,-1,-1,neutral,0.7091649174690247,"global, warming, climate, change, obama, let, changing, freezing, weather, fact",0.9766873696838123
Donald,Trump,R,US,0.403,2023,X,0,0,,climate change marxist exploit human tragedy,risk,-1,1,neutral,0.9596152305603027,"change, warming, global, climate, changed, working, wasnt, cold, didnt, called",0.7306187731632358
Donald,Trump,R,US,0.403,2023,X,6k,32k,,climate change statement longer use global warming doesnt work anymore bankrupt country bring third world status getting closer closer anyway,risk,-1,-1,neutral,0.5528891682624817,"warming, global, climate, change, need, new, fast, hell, york, country",0.9572912858516386
Donald,Trump,R,US,0.403,2022,X,4k,23k,,heading wisconsin big crowd slight delay due weather never let bad weather climate change stop,risk,-1,1,neutral,0.7871129512786865,"global, warming, climate, change, obama, let, changing, freezing, weather, fact",0.9102226054544568
Donald,Trump,R,US,0.403,2022,X,0,0,,joe biden going fly gas guzzling air force one almost mile seattle today sign executive order climate change cant make shit,risk,-1,-1,neutral,0.6164629459381104,"warming, global, climate, change, need, new, fast, hell, york, country",0.9255567921663054
Donald,Trump,R,US,0.403,2020,X,14k,0,,climate change study aviation combat joke elosi help average american,risk,-1,1,neutral,0.9329856038093567,"change, warming, global, climate, changed, working, wasnt, cold, didnt, called",0.6409956179288178
Donald,Trump,R,US,0.403,2019,X,19k,92k,,plagiarism charge sleepy joe biden ridiculous climate change plan big problem corrupt medium save problem drawing fly people rally nobody showing mean nobody cant win without people,risk,-1,-1,neutral,0.6182209253311157,"warming, global, climate, change, need, new, fast, hell, york, country",0.9523643548346551
Donald,Trump,R,US,0.403,2015,X,3k,6k,,president obama terrible tonight said climate change important thing current disaster,risk,-1,1,fear,0.5336642265319824,"global, warming, climate, change, obama, let, changing, freezing, weather, fact",0.8845151014235562
Donald,Trump,R,US,0.403,2015,X,280,366,,among lowest temperature ever much united state ice cap record size changed name global warming climate change,risk,-1,1,neutral,0.7902158498764038,"global, warming, freezing, record, cold, ice, country, nuclear, hell, snow",0.6550078114933842
Donald,Trump,R,US,0.403,2014,X,337,391,,constantly say global warming climate changethey changed name name global warming wasnt working,risk,-1,-1,disapproval,0.6821375489234924,"change, warming, global, climate, changed, working, wasnt, cold, didnt, called",0.5585256915323137
Donald,Trump,R,US,0.403,2014,X,1k,1k,,isi ebola spread like wildfire obama administration submitted paper stop climate change aka global warming,risk,-1,-1,neutral,0.9496964812278748,"global, warming, climate, change, obama, let, changing, freezing, weather, fact",0.9495824220924836
Donald,Trump,R,US,0.403,2014,X,184,182,,great article socalled climate change formerly known global warming,risk,-1,-1,admiration,0.921981692314148,"warming, global, climate, change, need, new, fast, hell, york, country",0.9096721919164346
Donald,Trump,R,US,0.403,2014,X,445,470,,late july really cold outside new york hell global warming need fast climate change,risk,-1,-1,neutral,0.8787133693695068,"warming, global, climate, change, need, new, fast, hell, york, country",0.8281991263768975
Donald,Trump,R,US,0.403,2014,X,139,155,,tremendous cold wave hit large part lucky changed name global warming climate change gw doesnt work,risk,-1,-1,neutral,0.6751391291618347,"global, warming, climate, change, obama, let, changing, freezing, weather, fact",0.9456729236027531
Donald,Trump,R,US,0.403,2014,X,62,55,,renamed climate change could devastating either way temperature go,risk,-1,1,neutral,0.4878646433353424,"global, warming, climate, change, obama, let, changing, freezing, weather, fact",0.8367667868290586
Donald,Trump,R,US,0.403,2014,X,480,419,,changed term climate change word global warming didnt work anymore come people get smart,risk,-1,-1,neutral,0.6405734419822693,"change, warming, global, climate, changed, working, wasnt, cold, didnt, called",0.7549090755671216
Donald,Trump,R,US,0.403,2014,X,211,240,,man made climate change great president focused nuclear variety brought upon weakness,risk,-1,-1,admiration,0.8574686646461487,"global, warming, climate, change, obama, let, changing, freezing, weather, fact",0.7677410958812955
Donald,Trump,R,US,0.403,2014,X,858,938,,russia move ukraine iran nuking libya run al qaeda yet obama busy issuing climate change warning,risk,-1,1,neutral,0.9319098591804504,"global, warming, climate, change, obama, let, changing, freezing, weather, fact",0.5369652680307408
Donald,Trump,R,US,0.403,2014,X,30,30,,respected businessman deny people knowledge climate change mean global,risk,-1,-1,neutral,0.8574540019035339,"change, warming, global, climate, changed, working, wasnt, cold, didnt, called",0.8653063014953974
Donald,Trump,R,US,0.403,2014,X,71,85,,congrats charles statement climate change formerly known global warming,risk,-1,-1,gratitude,0.76032954454422,"warming, global, climate, change, need, new, fast, hell, york, country",0.909747471337223
Donald,Trump,R,US,0.403,2014,X,20,47,,climate change allows stay gravy train whatever happens,risk,-1,1,neutral,0.8285635709762573,"change, warming, global, climate, changed, working, wasnt, cold, didnt, called",0.7306187731632358
Donald,Trump,R,US,0.403,2014,X,69,79,,whether global warming climate change fact didnt cause change,risk,-1,-1,neutral,0.5899233222007751,"change, warming, global, climate, changed, working, wasnt, cold, didnt, called",0.9101886464833663
Donald,Trump,R,US,0.403,2014,X,1k,1k,,climate change global warming dont let dollar sucking wiseguys change name midstream first name didnt work,risk,-1,1,neutral,0.6406206488609314,"change, warming, global, climate, changed, working, wasnt, cold, didnt, called",0.5315714714054574
Donald,Trump,R,US,0.403,2014,X,546,584,,believe one secretary state john kerry stated dangerous weapon today climate change laughable,risk,-1,1,amusement,0.7626194357872009,"warming, global, climate, change, need, new, fast, hell, york, country",0.9095590485375163
Donald,Trump,R,US,0.403,2014,X,417,490,,dont let global warming wiseguys get away changing name climate change fact let gw tag work anymore,risk,-1,-1,neutral,0.8122645020484924,"global, warming, climate, change, obama, let, changing, freezing, weather, fact",0.949425869622545
Donald,Trump,R,US,0.403,2014,X,621,415,,massive record setting snowstorm freezing temperature smart global warming hoaxsters changed name climate change,risk,-1,-1,neutral,0.9276525378227234,"global, warming, climate, change, obama, let, changing, freezing, weather, fact",0.9415810805636495
Donald,Trump,R,US,0.403,2014,X,2k,3k,,give clean beautiful healthy air old climate change global warming bullshit tired hearing nonsense,risk,-1,1,annoyance,0.5832662582397461,"global, warming, climate, change, obama, let, changing, freezing, weather, fact",0.9422799955301309
