first,last,party,state,ideology_score,year,source,likes,shares,views,content,independent_label,Sentiment,Score,labels_match,emotion,confidence
Alex,Padilla,D,CA,-0.375,2023.0,X,104,28.0,4756.0,Climate change isn't just harming the health of our planet––it's hurting our nation's infrastructure. I joined @SenBudget to discuss the need to invest in climate resilient systems.,opportunity,risk,0.520670473575592,0,disappointment,0.5556843876838684
Alex,Padilla,D,CA,-0.375,2024.0,X,68,33.0,8176.0,NEWS: Over $1 billion dollars from EPA is headed to CA's ports to build zero-emission infrastructure. This historic funding is a HUGE step forward in addressing climate change and improving air quality.,opportunity,opportunity,0.9727750420570374,1,approval,0.330272376537323
Alex,Padilla,D,CA,-0.375,2023.0,X,92,20.0,6516.0,2023 was the hottest year on record on Earth. The science is clear: we can't wait to act on climate change. It's time for:  A clean energy transition Clean jobs Curbing greenhouse gas emissions,opportunity,neutral,0.7265572547912598,0,excitement,0.5015208721160889
Amy,Klobuchar,D,MN,-0.283,2023.0,X,18,9.0,3985.0,The climate crisis is happening now and we need to confront it with a sense of urgency. The same communities that have been historically disenfranchised are likely to experience a disproportionate share of the effects of climate change and environmental disasters.,opportunity,risk,0.9736796021461488,0,neutral,0.207209050655365
Amy,Klobuchar,D,MN,-0.283,2022.0,X,1600,269.0,,Climate change isn’t happening sometime in the future—it’s happening NOW. But we can meet this moment. We can invest in clean energy and pave the way to a carbon neutral economy. Time to pass the Inflation Reduction Act.,opportunity,opportunity,0.8320814371109009,1,neutral,0.3605983257293701
Amy,Klobuchar,D,MN,-0.283,2021.0,X,510,96.0,,We can’t ignore it: climate change is the existential threat of our time.,risk,risk,0.8830553293228149,1,fear,0.5956111550331116
Angus,King,I,ME,-0.164,2024.0,X,11,4.0,2233.0,Violent weather and climate change have done serious damage to our coastal communities and economies. Thank you to the for bringing Maine leaders together to discuss how we can best support our working waterfronts.,opportunity,risk,0.9513232111930848,0,gratitude,0.9741851687431335
Angus,King,I,ME,-0.164,2024.0,X,179,66.0,23200.0,Climate change isn’t a theory in Maine; it’s a reality we’re dealing with constantly. The massive storms we’re seeing underscore the urgency of confronting it — and one of the ways is getting off fossil fuels by electrifying our economy. We can't fiddle while the planet burns.,opportunity,risk,0.6721368432044983,0,neutral,0.5848753452301025
Angus,King,I,ME,-0.164,2020.0,X,72,30.0,,The Maine Climate Action Plan spells out the threat climate change poses to Maine and lays out how we can respond. Stellar work by and team – now let’s work together to confront this challenge and preserve our planet for the next generation.,opportunity,neutral,0.7431015968322754,0,admiration,0.7534236907958984
Catherine,Cortez Masto,D,NV,-0.36,2022.0,X,9,3.0,,I'm fighting for tribal communities in Nevada by making sure they have the support they need to build resilient infrastructure and address the impacts of climate change.,opportunity,neutral,0.5844025015830994,0,desire,0.3099961280822754
Catherine,Cortez Masto,D,NV,-0.36,2022.0,X,252,51.0,,"Last week, I introduced a bill to boost our solar manufacturing industry, create good-paying clean energy jobs for Nevadans and help us continue to fight climate change.",opportunity,opportunity,0.9241777658462524,1,neutral,0.4489941895008087
Catherine,Cortez Masto,D,NV,-0.36,2022.0,X,16,6.0,,"As Nevada sits on the frontlines of the climate crisis, Sen. @CortezMasto is fighting for the action our planet needs and delivering for communities. We’re proud to endorse her for work securing $3.4 billion to prevent and fight wildfires and protecting the state’s public lands.",opportunity,opportunity,0.918927788734436,1,admiration,0.38926202058792114
Chris,Coons,D,DE,-0.233,2024.0,X,6,4.0,1370.0,"Climate change is making flooding more dangerous in many parts of the nation, including Delaware. As more communities become prone to climate disasters, we must prioritize building flood-resistant infrastructure.",opportunity,risk,0.9780063629150392,0,fear,0.3519812226295471
Chris,Coons,D,DE,-0.233,2024.0,X,47,30.0,6716.0,"Extreme heat driven by climate change is killing Americans. ' Inflation Reduction Act is the biggest climate investment in the world, and climate change and adapt to its current effects.Congress needs to continue developing policies to mitigate ",opportunity,risk,0.956506848335266,0,disappointment,0.3731200397014618
