first,last,party,state,ideology_score,region,year,source,likes,shares,views,message,independent_label,sentiment
Alex,Padilla,D,CA,-0.375,Midwest,2023,X,104,28,4756,Climate change isn't just harming the health of our planet––it's hurting our nation's infrastructure. I joined @SenBudget to discuss the need to invest in climate resilient systems.,opportunity,1
Alex,Padilla,D,CA,-0.375,Midwest,2024,X,68,33,8176,NEWS: Over $1 billion dollars from EPA is headed to CA's ports to build zero-emission infrastructure. This historic funding is a HUGE step forward in addressing climate change and improving air quality.,opportunity,1
Alex,Padilla,D,CA,-0.375,Midwest,2023,X,92,20,6516,2023 was the hottest year on record on Earth. The science is clear: we can't wait to act on climate change. It's time for:  A clean energy transition Clean jobs Curbing greenhouse gas emissions,opportunity,1
Amy,Klobuchar,D,MN,-0.283,Midwest,2023,X,18,9,3985,The climate crisis is happening now and we need to confront it with a sense of urgency. The same communities that have been historically disenfranchised are likely to experience a disproportionate share of the effects of climate change and environmental disasters.,opportunity,1
Amy,Klobuchar,D,MN,-0.283,Midwest,2022,X,1600,269,,Climate change isn’t happening sometime in the future—it’s happening NOW. But we can meet this moment. We can invest in clean energy and pave the way to a carbon neutral economy. Time to pass the Inflation Reduction Act.,opportunity,1
Amy,Klobuchar,D,MN,-0.283,Midwest,2021,X,510,96,,We can’t ignore it: climate change is the existential threat of our time.,opportunity,1
Angus,King,I,ME,-0.164,Northeast,2024,X,11,4,2233,Violent weather and climate change have done serious damage to our coastal communities and economies. Thank you to the for bringing Maine leaders together to discuss how we can best support our working waterfronts.,opportunity,1
Angus,King,I,ME,-0.164,Northeast,2024,X,179,66,23200,Climate change isn’t a theory in Maine; it’s a reality we’re dealing with constantly. The massive storms we’re seeing underscore the urgency of confronting it — and one of the ways is getting off fossil fuels by electrifying our economy. We can't fiddle while the planet burns.,opportunity,1
Angus,King,I,ME,-0.164,Northeast,2020,X,72,30,,The Maine Climate Action Plan spells out the threat climate change poses to Maine and lays out how we can respond. Stellar work by and team – now let’s work together to confront this challenge and preserve our planet for the next generation.,opportunity,1
Catherine,Cortez Masto,D,NV,-0.36,West,2022,X,9,3,,I'm fighting for tribal communities in Nevada by making sure they have the support they need to build resilient infrastructure and address the impacts of climate change.,opportunity,1
Catherine,Cortez Masto,D,NV,-0.36,West,2022,X,252,51,,"Last week, I introduced a bill to boost our solar manufacturing industry, create good-paying clean energy jobs for Nevadans and help us continue to fight climate change.",opportunity,1
Catherine,Cortez Masto,D,NV,-0.36,West,2022,X,16,6,,"As Nevada sits on the frontlines of the climate crisis, Sen. @CortezMasto is fighting for the action our planet needs and delivering for communities. We’re proud to endorse her for work securing $3.4 billion to prevent and fight wildfires and protecting the state’s public lands.",opportunity,1
